新华社 北京
大力支持 义务教育
农村 义务教育
农村 农村
义务教育 农村
义务教育 医疗卫生
农村 医疗卫生
农村 农村
医疗卫生 农村
医疗卫生 文化
农村 文化
文化 农村
农村 社会保障
社会保障 事业
事业 发展
事业 促进
发展 促进
发展 城乡
促进 城乡
促进 基本
城乡 基本
城乡 公共服务
基本 公共服务
基本 均等化
公共服务 均等化
均等化 支持
扶贫开发 重点
扶贫开发 支持
重点 支持
重点 提高
支持 提高
能力 建设
能力 提高
建设 提高
建设 扶贫开发
提高 扶贫开发
提高 成效
扶贫开发 成效
成效 支持
支持 推进
支持 乡镇
推进 乡镇
推进 机构
乡镇 机构
乡镇 农村
机构 农村
机构 义务教育
农村 义务教育
农村 县乡
义务教育 县乡
县乡 体制
体制 集体
集体 林权
集体 制度
林权 制度
林权 改革
制度 改革
制度 推动
改革 推动
推动 化解
化解 农村
化解 义务教育
农村 义务教育
村级 建设
奖补 减轻
减轻 农民
农民 负担
负担 综合
负担 改革
综合 改革
试点工作 记者
展开 今年
今年 中央财政
今年 采取
中央财政 采取
措施 支持
今年 中央财政
支农 项目
特点 尽快
尽快 支农
支农 资金
支农 充分发挥
资金 充分发挥
财政 支农
财政 资金
支农 资金
资金 效益
重大 支农
重大 专项资金
支农 专项资金
支农 特别
专项资金 特别
特别 提高
提高 粮食
粮食 主要
主要 农产品
主要 生产能力
农产品 生产能力
生产能力 专项资金
做到 方案
方案 早
早 指标
指标 早
指标 发挥
早 发挥
早 效益
发挥 效益
效益 大幅度
大幅度 增加
大幅度 三农
增加 三农
增加 投入
三农 投入
不断创新 财政
不断创新 支农
财政 支农
财政 机制
支农 机制
支农 体制
机制 体制
机制 切实加强
体制 切实加强
体制 支农
切实加强 支农
切实加强 资金
支农 资金
支农 管理
资金 管理
资金 提高
管理 提高
管理 资金
提高 资金
提高 使用
资金 使用
资金 效益
使用 效益
粮食 直补
粮食 农资
直补 农资
直补 综合
农资 综合
农资 直补
综合 直补
综合 资金
直补 资金
直补 亿元
资金 亿元
亿元 中央财政
良种 补贴
良种 农机具
补贴 农机具
补贴 购置
农机具 购置
农机具 补贴
购置 补贴
施肥 专项资金
专项资金 亿元
亿元 农业
农业 资金
资金 亿元
资金 支持
亿元 支持
亿元 各地
支持 各地
支持 开展
各地 开展
各地 春耕
开展 春耕
开展 备耕
春耕 备耕
备耕 农业
农业 恢复
恢复 记者
记者 年
年 中央
中央 连续
中央 发布
连续 发布
三农 一号
一号 文件
文件 过去
过去 财政
财政 支农
财政 取得
支农 取得
成效 年
年 中央财政
年 用于
中央财政 用于
中央财政 三农
用于 三农
三农 投入
投入 超过
超过 亿元
超过 达到
亿元 达到
亿元 亿元
达到 亿元
达到 年
亿元 年
亿元 达到
年 达到
年 亿元
达到 亿元
亿元 增加
增加 亿元
亿元 增长
增长 数字
数字 增长
增长 背后
背后 体现
体现 党中央
党中央 国务院
国务院 三农
三农 工作
工作 高度重视
高度重视 年
中央财政 用于
中央财政 三农
用于 三农
三农 资金投入
资金投入 累计
资金投入 达到
累计 达到
支农 投入
支农 力度
投入 力度
力度 加大
投入 政策
投入 更加
政策 更加
政策 完善
更加 完善
更加 投入
完善 投入
完善 机制
投入 机制
投入 更加
机制 更加
更加 投入
投入 重点
投入 更加
重点 更加
重点 突出
更加 突出
更加 效果
突出 效果
突出 更加
效果 更加
效果 显著
更加 显著
中央财政 陆续
中央财政 出台
陆续 出台
出台 粮食
粮食 直补
粮食 良种
直补 良种
直补 补贴
良种 补贴
良种 农机具
补贴 农机具
补贴 购置
农机具 购置
农机具 补贴
购置 补贴
购置 农资
补贴 农资
补贴 综合
农资 综合
农资 直补
综合 直补
直补 惠农
惠农 补贴
惠农 政策
补贴 政策
政策 农民
农民 直接
农民 受益
直接 受益
受益 程度
程度 大幅度提高
大幅度提高 中央财政
中央财政 安排
补贴 资金
资金 达到
达到 亿元
达到 年
亿元 年
亿元 中央
年 中央
中央 安排
安排 农村税费
安排 改革
农村税费 改革
改革 农村
农村 综合
农村 改革
综合 改革
改革 转移
转移 支付
转移 资金
支付 资金
资金 主要
主要 用于
主要 支持
用于 支持
用于 地方
支持 地方
支持 做好
地方 做好
地方 农村税费
做好 农村税费
做好 改革
农村税费 改革
农村税费 试点
改革 试点
改革 取消
试点 取消
农业 国有
国有 农场
国有 税费
农场 税费
农场 改革
税费 改革
税费 减轻
改革 减轻
农民负担 化解
化解 农村
化解 义务教育
农村 义务教育
过去 中央财政
中央财政 投入
投入 领域
领域 注重
注重 农业
注重 生产
农业 生产
农业 环节
生产 环节
环节 转向
转向 农业
转向 生产
农业 生产
农业 农村
生产 农村
生产 社会
农村 社会
农村 事业
社会 事业
社会 发展
事业 发展
事业 并重
发展 并重
并重 公共财政
公共财政 覆盖
公共财政 农村
覆盖 农村
农村 范围
范围 年
年 取消
取消 农业税
取消 中央
农业税 中央
中央 三农
三农 方针
方针 少取
少取 放活
少取 转变
放活 转变
转变 基本
放活 并重
并重 出台
出台 强化
政策 建立
乡 稳定
稳定 反哺
反哺 农业投入
反哺 机制
农业投入 机制
农业投入 推动
机制 推动
机制 城乡
推动 城乡
推动 协调
城乡 协调
城乡 发展
协调 发展
中央财政 重点
重点 推进
重点 农村税费
推进 农村税费
推进 改革
农村税费 改革
农村税费 支持
改革 支持
改革 提高
支持 提高
支持 农业
提高 农业
提高 综合
农业 综合
农业 生产能力
综合 生产能力
综合 加大
生产能力 加大
生产能力 农民
加大 农民
加大 直接
农民 直接
农民 补贴
直接 补贴
直接 力度
补贴 力度
财政投入 更
基层 倾斜
倾斜 社会
社会 事业
社会 倾斜
事业 倾斜
倾斜 中西部
中西部 地区
中西部 倾斜
地区 倾斜
倾斜 困难
困难 群体
困难 倾斜
群体 倾斜
群体 有力
倾斜 有力
有力 支持
支持 农村
农村 义务教育
农村 农村
义务教育 农村
义务教育 医疗卫生
农村 医疗卫生
农村 农村
医疗卫生 农村
医疗卫生 社会保障
农村 社会保障
农村 农村
社会保障 农村
社会保障 文化
农村 文化
农村 事业
文化 事业
事业 社会
社会 事业
社会 发展
事业 发展
城乡居民 共
共 公共财政
公共财政 阳光
公共财政 共享
阳光 共享
阳光 改革
共享 改革
共享 发展
改革 发展
改革 成果
发展 成果
发展 统计
成果 统计
成果 显示
统计 显示
统计 年
显示 年
显示 中央财政
年 中央财政
年 用于
中央财政 用于
中央财政 农村
用于 农村
用于 义务教育
农村 义务教育
农村 科学
义务教育 科学
科学 文化
文化 投入
投入 超过
投入 亿元
超过 亿元
超过 年均
亿元 年均
亿元 增长
年均 增长
中央财政 安排
安排 新型农村
安排 合作医疗
新型农村 合作医疗
新型农村 补助
合作医疗 补助
合作医疗 资金
补助 资金
补助 亿元
资金 亿元
资金 推进
亿元 推进
亿元 新型农村
推进 新型农村
推进 合作医疗
新型农村 合作医疗
新型农村 制度
合作医疗 制度
合作医疗 建设
制度 建设
年 安排
年 亿元
安排 亿元
安排 资金
亿元 资金
地区 给予
地区 补助
给予 补助
给予 推动
补助 推动
补助 农村
推动 农村
推动 建立
农村 建立
农村 最低
建立 最低
建立 生活
最低 生活
最低 保障制度
生活 保障制度
生活 记者
保障制度 记者
保障制度 今年
记者 今年
天气 我国
我国 地区
地区 农业
农业 生产
农业 造成
生产 造成
造成 中央财政
中央财政 支持
支持 南方
扶持 政策
党中央 国务院
国务院 部署
加大 支持
支持 力度
支持 确保
力度 确保
力度 各项
确保 各项
各项 资金
资金 及时
资金 安排
及时 安排
安排 到位
到位 出台
税费 减免
税费 政策
减免 政策
减免 多渠道
政策 多渠道
政策 支持
多渠道 支持
突出 支持
突出 重点
支持 重点
重点 原则
原则 重点
原则 支持
重点 支持
重点 各地
支持 各地
支持 恢复
各地 恢复
各地 农业
恢复 农业
恢复 生产
农业 生产
生产 基础设施
基础设施 安排
群众 生活
安排 资金
综合 安排
综合 资金
安排 资金
安排 继续
资金 继续
资金 做好
继续 做好
做好 群众
群众 生活
群众 安排
生活 安排
安排 市场
市场 保障
保障 支持
保障 恢复
支持 恢复
支持 农业
恢复 农业
恢复 生产
农业 生产
农业 支持
生产 支持
支持 电网
支持 交通
电网 交通
电网 教育
交通 教育
教育 卫生
卫生 基础设施
重大 支农
重大 专项资金
支农 专项资金
进行 合理
进行 调整
合理 调整
良种 补贴
良种 农机具
补贴 农机具
补贴 购置
农机具 购置
农机具 补贴
购置 补贴
施肥 专项资金
施肥 时
专项资金 时
专项资金 加大
时 加大
支持 力度
支持 农业
力度 农业
力度 综合
农业 综合
农业 开发
综合 开发
综合 资金
开发 资金
倾斜 帮助
帮助 人民
人民 农业
农业 生产
收入 年
年 我国
年 农村居民
我国 农村居民
我国 人均
农村居民 人均
农村居民 纯收入
人均 纯收入
纯收入 达到
达到 实现
实现 自年
政府 工作
政府 报告
工作 报告
报告 提出
提出 进一步
进一步 拓宽
进一步 农民
拓宽 农民
拓宽 增收
农民 增收
农民 渠道
增收 渠道
渠道 国民经济
国民经济 计划
国民经济 报告
计划 报告
今年 农民
今年 增收
农民 增收
农民 提出
增收 提出
代表 委员
惠农 政策
很多 实惠
连续 增收
连续 今年
增收 今年
政策 力度
信心 陕西省
村 党支部
村 书记
党支部 书记
书记 代表
过去 年
年 代表
年 委员
代表 委员
委员 认为
认为 三农
中央 连续
中央 出台
连续 出台
出台 指导
指导 三农
指导 工作
三农 工作
工作 一号
一号 文件
一号 中央财政
文件 中央财政
文件 用于
中央财政 用于
中央财政 三农
用于 三农
三农 支出
支出 累计
支出 达
累计 达
取消 农业税
减轻 农民负担
减轻 亿元
农民负担 亿元
农民负担 种粮
亿元 种粮
补贴 读书
覆盖 惠农
覆盖 政策
惠农 政策
惠农 一年
政策 一年
政策 更
一年 更
更 一年
一年 农民收入
农民收入 一年
农民收入 更
一年 更
更 一年
一年 海南
海南 县委书记
县委书记 代表
代表 地说
经济 贫困县
贫困县 过去
过去 年
年 县
县 农民
农民 人均
农民 纯收入
人均 纯收入
程度 得益于
得益于 国家
国家 惠农
惠农 政策
政策 现在
政策 全县
现在 全县
现在 农民
全县 农民
增收 今年
今年 国民经济
今年 计划
国民经济 计划
国民经济 报告
计划 报告
计划 提出
报告 提出
农民 人均
农民 纯收入
人均 纯收入
人均 实际
纯收入 实际
纯收入 增长
实际 增长
农村基层 代表
代表 委员
今年 中央
信心 年
信心 中央财政
年 中央财政
年 安排
中央财政 安排
中央财政 亿元
安排 亿元
安排 用于
亿元 用于
亿元 三农
用于 三农
用于 支出
三农 支出
三农 增长
支出 增长
支出 增幅
增长 增幅
直接 补贴
直接 亿元
补贴 亿元
补贴 增长
亿元 增长
亿元 用于
增长 用于
增长 支持
用于 支持
用于 农业
支持 农业
支持 生产
农业 生产
生产 投入
投入 亿元
投入 增长
亿元 增长
亿元 代表
增长 代表
增长 委员
代表 委员
委员 表示
表示 应当
看到 农民
看到 增收
农民 增收
增收 主要
因素 农民
因素 增收
农民 增收
明显 农民
农民 持续
农民 稳定
持续 稳定
持续 增收
稳定 增收
稳定 面临
增收 面临
面临 压力
压力 挑战
代表 参加
调查 粮食
调查 直补
粮食 直补
直补 农资
农资 综合
农资 直补
综合 直补
综合 农民
直补 农民
化肥 价格
价格 去年
吃 农资
农资 价格
价格 上涨
政策 农民
农民 实惠
实惠 造成
造成 农民
农民 增收
增收 困难
困难 种粮
种粮 成本
种粮 逐年
成本 逐年
成本 增加
逐年 增加
增加 粮价
粮价 年
年 年
年 粮食
年 每亩
粮食 每亩
粮食 实际
每亩 实际
每亩 收益
实际 收益
逐年 下降
逐年 趋势
下降 趋势
下降 种粮
趋势 种粮
趋势 效益
种粮 效益
程度 影响
影响 农民
农民 种粮
种粮 积极性
种粮 今年
积极性 今年
积极性 南方
今年 南方
今年 遭遇
南方 遭遇
农民 减少
农产品 价格
空间 比较
空间 有限
比较 有限
比较 农资
有限 农资
有限 价格上涨
农资 价格上涨
农资 农业
价格上涨 农业
农业 农民
农民 就业
农民 增收
就业 增收
增收 难度
面对 今年
面对 农民
今年 农民
今年 增收
农民 增收
目标 农业部
目标 副
农业部 副
农业部 部长
副 部长
接受 集体
接受 采访
集体 采访
集体 时
采访 时
挑战 持续
增收 持续
增收 日子
增收 一年
日子 一年
农民 群众
群众 关心
关心 问题
农业 农村
农村 发展
发展 核心
核心 目标
目标 面对
确保 农民
确保 持续
农民 持续
增收 代表
增收 委员
代表 委员
委员 表示
惠农 政策
政府 工作
政府 报告
工作 报告
工作 积极
报告 积极
报告 拓宽
积极 拓宽
积极 农民
拓宽 农民
拓宽 增收
农民 增收
农民 渠道
增收 渠道
调整 产业结构
调整 发展
产业结构 发展
产业结构 特色
发展 特色
介绍 村里
村里 发展
发展 蔬菜
发展 种植
蔬菜 种植
蔬菜 村
蔬菜 全村
村 全村
村 农民
全村 农民
全村 人均
农民 人均
农民 纯收入
人均 纯收入
纯收入 多元
多元 农村
多元 经济
农村 经济
经济 发展
发展 农民
农民 增收
对此 代表
县里 农民
农民 进行
进行 种植
种植 管理
管理 实用
管理 技术培训
实用 技术培训
实用 农民
技术培训 农民
技术培训 掌握
农民 掌握
培训 农民
农民 持续
农民 稳定
持续 稳定
持续 增收
稳定 增收
增收 促进
促进 农民
促进 有序
农民 有序
农民 转移
有序 转移
有序 就业
转移 就业
转移 增加
就业 增加
就业 农民
增加 农民
农民 工资
工资 收入
收入 广西
人口 农业
农业 县
打工 去年
打工 全县
去年 全县
去年 农民
全县 农民
全县 人均
农民 人均
农民 纯收入
人均 纯收入
人均 达
纯收入 达
纯收入 多元
达 多元
多元 工资
工资 收入
全国政协 委员
委员 教授
教授 认为
认为 积极
积极 发展
积极 龙头企业
发展 龙头企业
发展 带动
龙头企业 带动
龙头企业 农民
带动 农民
带动 增收
农民 增收
农民 致富
增收 致富
致富 农村
农村 地区
地区 重点
重点 发展
重点 农业
发展 农业
发展 产业化
农业 产业化
产业化 扶持
扶持 龙头企业
扶持 带动
龙头企业 带动
龙头企业 农民
带动 农民
传统 农业
农业 现代农业
现代农业 转变
现代农业 持续
转变 持续
转变 稳定
持续 稳定
持续 增收
稳定 增收
增收 我国
我国 农业
农业 程度
产业 水产
水产 养殖
养殖 防治
防治 中心
防治 副
中心 副
中心 主任
副 主任
副 王
主任 王
王 委员
委员 认为
委员 近年来
认为 近年来
认为 我国
近年来 我国
近年来 农村
我国 农村
农村 自然灾害
农民 增收
困难 特别
特别 近年
近年 农业
农业 产业结构
产业结构 调整
调整 规模经营
规模经营 发展
发展 产业化
产业化 步伐
步伐 加快
加快 农业
农民 农业
农业 保险
生产 生活
生活 保障
我国 农业
农业 规模
规模 不能
不能 满足
满足 农村
农村 需求
需求 王
王 委员
委员 建议
委员 政府
建议 政府
政府 部门
部门 应
部门 尽快
应 尽快
应 总结
尽快 总结
尽快 农业
总结 农业
总结 保险
农业 保险
农业 试点
保险 试点
保险 省市
试点 省市
省市 单位
单位 取得
取得 经验
经验 加快
经验 推进
加快 推进
加快 我国
推进 我国
推进 农业
我国 农业
我国 政策性
农业 政策性
农业 保险公司
政策性 保险公司
保险公司 建立
建立 推进
推进 农业
推进 支持
农业 支持
支持 建设
建设 进一步
建设 增强
进一步 增强
进一步 农业
增强 农业
农业 灾害
灾害 能力
确保 农民
实现 增收
果园 里
万元 浙江
浙江 引进
投入 万元
万元 回报
逐渐 进入
保险公司 没有
保险 意识
意识 不够
不够 只能
面对 灾害
其实 面对
其实 灾害
面对 灾害
面对 农业
灾害 农业
灾害 保险
农业 保险
保险 农业
农业 保险
农民 实惠
实惠 保险
保险 湖南
农业 风险
风险 较大
风险 保险公司
较大 保险公司
保险公司 企业
企业 很多
很多 开展
开展 农业
农业 积极性
年底 保险
保险 湖南
准备 油菜
油菜 进行
油菜 保险
进行 保险
没有 实行
油菜 进行
油菜 保险
进行 保险
亿元 农民
农民 农业
农业 保险
保险 需求
需求 非常
不少 养猪
不少 大户
养猪 大户
希望 政府
政府 推出
推出 生猪
推出 保险
生猪 保险
农业 保险
保险 农户
政府 补贴
政策性 保险
政策性 路子
保险 路子
路子 现实
现实 选择
农民 愿意
农业 保险
农业 面临
保险 面临
中国 约
全国 农作物
全国 播种面积
农作物 播种面积
播种面积 农民
自然 风险
自然 较大
风险 较大
较大 面对
单一 财政
财政 补助
补助 农业
农业 灾害
农业 救助
灾害 救助
灾害 模式
救助 模式
严重 容易
严重 引起
容易 引起
容易 资金
引起 资金
资金 更
灾害 损失
损失 补偿
记者 全国
记者 年
全国 年
年 财政
财政 资金
自然灾害 造成
造成 损失
我国 实行
国家 财政
国家 支持
财政 支持
风险 财政
财政 承担
任务 成本
成本 能力
能力 面临
我国 自然灾害
自然灾害 导致
中 保险公司
中 承担
保险公司 承担
承担 损失
损失 超过
个人 国家
国家 承担
国家 保险
承担 保险
承担 这种
保险 这种
保险 社会化
这种 社会化
社会化 风险
风险 损失
风险 承担
损失 承担
损失 机制
承担 机制
机制 管理
管理 风险
风险 方面
方面 作用
建议 必须
建议 尽快
必须 尽快
必须 建立
尽快 建立
尽快 我国
建立 我国
我国 保险
保险 管理
管理 风险
应 积极
应 推进
积极 推进
积极 政策性
推进 政策性
立法 相关
相关 制度
制度 建设
建设 建立
建设 农业
建立 农业
建立 保险
农业 保险
农业 补偿
保险 补偿
保险 体制
补偿 体制
补偿 框架
体制 框架
框架 机制
机制 明确
相关 权利
公司 定位
定位 法律法规
保证 农业
保证 保险
农业 保险
农业 运行
保险 运行
记者 日前
下乡 干部
下乡 进行
干部 进行
干部 培训
进行 培训
进行 内容
培训 内容
培训 主要
内容 主要
内容 围绕
主要 围绕
主要 促进
围绕 促进
促进 发展
发展 农牧民
农牧民 增收
农牧民 包括
增收 包括
增收 中央
包括 中央
政策 政府
政府 农牧民
农牧民 办实事
办实事 村级
村级 特色
特色 村级
村级 规划
村级 编制
规划 编制
规划 矛盾
编制 矛盾
化解 扶贫
化解 政策
扶贫 政策
政策 三农
三农 课题
课题 提高
提高 干部
提高 解决
干部 解决
干部 三农问题
解决 三农问题
三农问题 能力
能力 今年
组织 万名
万名 干部
干部 活动
活动 活动
活动 超过
活动 万名
超过 万名
超过 干部
万名 干部
万名 深入
干部 深入
深入 全省
村 党和政府
党和政府 惠农
惠农 支农
惠农 政策
支农 政策
政策 田间
田间 草原
解决 群众
群众 生产
群众 生活
生产 生活
问题 困难
困难 干部
干部 政策
下乡 干部
农村 致富
下乡 干部
干部 举办
举办 活动
活动 农村
科技 部门
科技 下乡
部门 下乡
部门 干部
下乡 干部
干部 解决
解决 农业
乡 地处
科技 部门
科技 下乡
部门 下乡
部门 干部
下乡 干部
干部 研究
研究 种植
种植 抗旱
种植 特色
抗旱 特色
抗旱 作物
特色 作物
帮助 农民
帮助 解决
农民 解决
农民 良种
解决 良种
解决 销路
良种 销路
销路 问题
问题 春耕
下乡 干部
下乡 指导
干部 指导
干部 农户
指导 农户
调整 种植
调整 结构
种植 结构
种植 储备
结构 储备
结构 农资
储备 农资
储备 化肥
化肥 万吨
化肥 农药
万吨 农药
小麦 马铃薯
种子 特色
特色 优势
特色 作物
优势 作物
优势 种植
作物 种植
作物 面积
种植 面积
面积 达到
达到 万亩
遭遇 严重
下乡 干部
干部 深入
深入 全面
情况 做好
恢复 生产
恢复 工作
生产 工作
干部 组成
组成 专项
负责 开展
负责 教育
开展 教育
开展 文化
教育 文化
教育 卫生
文化 卫生
文化 三下乡
卫生 三下乡
卫生 服务
三下乡 服务
三下乡 活动
服务 活动
下乡 干部
下乡 目标
干部 目标
及时 解决
解决 基层组织
基层组织 农牧民
农牧民 群众
农牧民 关心
群众 关心
群众 关注
关心 关注
关注 难点
建立 干部
建立 下乡
干部 下乡
下乡 长效机制
各地 推广
各地 实施
推广 实施
实施 干部
干部 驻村
干部 工作
驻村 工作
驻村 制度
工作 制度
制度 年
年 干部
年 长期
干部 长期
了解 掌握
掌握 群众
群众 困难
解决 生产
生产 扶贫
生产 项目
扶贫 项目
扶贫 农村
项目 农村
项目 新型
农村 新型
农村 合作医疗
新型 合作医疗
合作医疗 方面
方面 存在
存在 问题
新华社 记者
记者 国务院
国务院 日前
国务院 召开
日前 召开
召开 全国
全国 农业
农业 粮食
粮食 生产
粮食 工作
生产 工作
工作 指出
指出 农村
农村 金融机构
农村 涉农
金融机构 涉农
金融机构 贷款
涉农 贷款
涉农 比例
贷款 比例
贷款 实施
比例 实施
表示 近年来
操作 中
中 农村
农村 金融机构
农村 给予
金融机构 给予
金融机构 特别
给予 特别
给予 扶持
特别 扶持
扶持 政策
政策 今后
今后 继续
继续 存款
存款 政策
政策 方面
方面 农村
农村 金融机构
农村 坚持
金融机构 坚持
原则 支持
原则 农村
支持 农村
支持 金融机构
农村 金融机构
农村 增加
金融机构 增加
增加 三农
三农 信贷
信贷 投放
投放 介绍
介绍 涉农
涉农 贷款
涉农 比例
贷款 比例
农村 合作
农村 银行
合作 银行
合作 执行
银行 执行
商业银行 百分点
百分点 存款
存款 农村
农村 信用社
农村 执行
信用社 执行
商业银行 百分点
百分点 存款
涉农 贷款
涉农 比例
贷款 比例
县市 农村
县市 信用社
农村 信用社
农村 执行
信用社 执行
商业银行 百分点
百分点 存款
存款 全国
全国 农业
农业 粮食
粮食 生产
粮食 工作
生产 工作
工作 指出
指出 今年
指出 确保
今年 确保
确保 规模
上年 水平
表示 继续
继续 存款
存款 政策
政策 方面
方面 农村
农村 金融机构
农村 坚持
金融机构 坚持
原则 需求
需求 安排
安排 增加
安排 中西部
增加 中西部
增加 地区
中西部 地区
地区 粮食
粮食 主产区
粮食 支农
主产区 支农
上年 水平
水平 支农
支农 贷款
贷款 年
年 国务院
支持 农村
支持 信用社
农村 信用社
农村 扩大
信用社 扩大
信用社 农户
扩大 农户
扩大 贷款
农户 贷款
贷款 开办
贷款 业务
业务 今年
累计 发放
累计 支农
发放 支农
支农 贷款
贷款 支农
用于 支持
用于 中西部
支持 中西部
中西部 粮食
粮食 主产区
粮食 全国
主产区 全国
主产区 农业
全国 农业
农业 粮食
粮食 生产
粮食 工作
生产 工作
工作 指出
指出 增加
指出 中西部
增加 中西部
中西部 粮食
粮食 主产区
粮食 支农
主产区 支农
中西部 地区
地区 粮食
农产品 主产区
主产区 支农
支农 贷款
贷款 亿元
安排 亿元
安排 支农
亿元 支农
支农 贷款
贷款 重点
贷款 支持
重点 支持
支持 农村
农村 信用社
农村 发放
信用社 发放
信用社 支农
发放 支农
支农 小额
小额 农户
小额 贷款
农户 贷款
农户 今后
贷款 今后
农村 信用社
农村 支农
信用社 支农
信用社 信贷资金
支农 信贷资金
支农 投放
信贷资金 投放
投放 实际
实际 合理
实际 需求
合理 需求
需求 安排
安排 增加
安排 中西部
增加 中西部
增加 地区
中西部 地区
地区 粮食
粮食 主产区
粮食 支农
主产区 支农
中国农业银行 负责人
角度 三农
三农 发展
发展 重视
重视 支持
支持 农行
农行 面向
面向 三农
三农 国有
国有 商业银行
商业银行 制定
制定 措施
制定 确保
措施 确保
措施 今年
确保 今年
确保 县域
今年 县域
今年 机构
县域 机构
机构 增量
增量 贷款
涉农 贷款
贷款 高于
高于 平均水平
今年以来 支持
支持 农业
农业 生产
农业 春耕
生产 春耕
生产 备耕
春耕 备耕
备耕 农村
农村 中小企业
中小企业 重点
重点 农行
重点 加大
农行 加大
加大 涉农
涉农 贷款
贷款 投放
投放 力度
投放 月底
力度 月底
力度 农行
月底 农行
月底 涉农
农行 涉农
农行 贷款
涉农 贷款
涉农 余额
贷款 余额
贷款 亿元
余额 亿元
增加 亿元
镇 村农民
来到 杭州
成立 龙头企业
成立 带动
龙头企业 带动
龙头企业 村民
带动 村民
现在 全村
种植 品种
提出 支持
支持 农业
支持 产业化
农业 产业化
农业 经营
产业化 经营
经营 龙头企业
龙头企业 发展
龙头企业 培育
发展 培育
培育 文化
文化 技术
技术 经营
经营 新型
新型 农民
农民 发展
发展 培养
教师 农民
农民 服务
科技 扶贫
科技 年
扶贫 年
扶贫 培育
年 培育
培育 种植
人民 脱贫致富
规划 生态农业
生态农业 带
生态农业 帮助
带 帮助
帮助 农民
农民 种地
农民 收入
种地 收入
农田 面积
面积 达
达 万亩
达 约
万亩 约
约 农户
农户 直接
助农 推广
推广 教师
进程 一定
一定 影响
新品种 没有
新品种 推广
没有 推广
没有 只能
推广 只能
科研 价值
价值 年前
讨论 决定
讨论 改革
决定 改革
改革 制度
制度 全国
全国 推广
推广 教授
教授 从事
从事 市场
从事 应用
市场 应用
市场 技术推广
应用 技术推广
技术推广 教师
提升 产业
提升 竞争力
产业 竞争力
贡献 主要
取得 重大
取得 科研
重大 科研
贡献 转化
转化 致富
致富 农户
贡献 推广
贡献 教授
推广 教授
广西 近年
近年 养殖
养殖 发展
难题 不少
难 防治
污染 环境
指导 农户
农户 改进
农户 养殖
改进 养殖
改进 技术
养殖 技术
养殖 收集
技术 收集
原料 避免
避免 污染
实现 增收
实现 年底
增收 年底
年底 成立
成立 现代农业
成立 技术推广
现代农业 技术推广
现代农业 中心
技术推广 中心
技术推广 组织
中心 组织
成熟 经验
经验 西部
西部 推广
推广 路
路 越
越 越
越 宽
宽 贵州
优质 奶牛
奶牛 产业化
产业化 示范
产业化 工程
示范 工程
工程 启动
启动 带动
带动 农民
农民 脱贫
脱贫 重庆
推广 面积
面积 万亩
万亩 累计
万亩 效益
累计 效益
累计 亿元
效益 亿元
亿元 云南
云南 开展
云南 高产
开展 高产
开展 优质
高产 优质
优质 油菜
油菜 选育
选育 产业化
产业化 增产
研究 人员
研究 组成
人员 组成
组成 推广
推广 队伍
推广 服务
队伍 服务
服务 全国
全国 各地
海南 今年
海南 计划
今年 计划
今年 新增
计划 新增
计划 财力
新增 财力
财力 用于
用于 改善
农民 增加收入
农民 提高
增加收入 提高
增加收入 生活
提高 生活
提高 水平
生活 水平
水平 最大
海南 新增
海南 财力
新增 财力
新增 重点
财力 重点
重点 三农
三农 倾斜
三农 加大
倾斜 加大
投入 力度
投入 加强
力度 加强
力度 农业
加强 农业
加强 基础
农业 基础
农业 建设
基础 建设
基础 促进
建设 促进
建设 农业
促进 农业
促进 增产
农业 增产
农业 农民
增产 农民
增产 增收
农民 增收
增收 公共财政
公共财政 阳光
农村 农业
农村 产业化
农业 产业化
产业化 发展
发展 特色
发展 优势
特色 优势
特色 农业
优势 农业
海南 各级
海南 财政
各级 财政
各级 去年
财政 去年
财政 投入
去年 投入
去年 资金
投入 资金
资金 万元
万元 鼓励
万元 农民
鼓励 农民
农民 专业
专业 合作社
专业 今年
合作社 今年
今年 财政
财政 继续
继续 安排
继续 万元
安排 万元
安排 支持
万元 支持
万元 农产品
支持 农产品
支持 加工
农产品 加工
农产品 龙头企业
加工 龙头企业
加工 发展
龙头企业 发展
龙头企业 加工
发展 加工
发展 园区
加工 园区
加工 建设
园区 建设
建设 助推
助推 特色
特色 现代农业
特色 发展
现代农业 发展
发展 全省
特色 农业
特色 初步
农业 初步
农业 形成
初步 形成
形成 布局
布局 集约化
布局 经营
集约化 经营
集约化 专业化
经营 专业化
经营 生产
专业化 生产
生产 格局
格局 海南
格局 优化
海南 优化
优化 结构
结构 加大
加大 农村
农村 公共服务
公共服务 投入
投入 力度
投入 支持
力度 支持
力度 农村
支持 农村
支持 义务教育
农村 义务教育
农村 医疗卫生
义务教育 医疗卫生
义务教育 文化
医疗卫生 文化
文化 社会保障
社会保障 事业
事业 发展
事业 今年
发展 今年
发展 海南
今年 海南
今年 义务教育
海南 义务教育
义务教育 支出
支出 增长
支出 安排
增长 安排
增长 亿元
安排 亿元
亿元 新型农村
新型农村 合作医疗
新型农村 财政
合作医疗 财政
合作医疗 补助
财政 补助
财政 标准
补助 标准
补助 提高
标准 提高
提高 安排
安排 万元
万元 家庭
家庭 人均
家庭 年收入
人均 年收入
以下 绝对
绝对 贫困户
贫困户 纳入
纳入 农村
纳入 最低
