时 想
工程 真正
围绕 致富
打造 高效
开发 国家
国家 财政
国家 直接
财政 直接
直接 投入
关系 党
开发 部门
真正 起来
起来 项目
项目 实行
实行 提高
提高 社会
保证 项目
政策 致富
政策 信息
致富 信息
人员 深入
了解 信息
劳动力 转移
劳动力 培训
转移 培训
里 学习
里 相关
学习 相关
学习 知识
相关 知识
解决 三农问题
解决 方面
三农问题 方面
知识 方面
方面 具有
方面 明显
具有 明显
明显 优势
优势 关键
深入 深入
解决 三农问题
三农问题 加快
保持 持续
持续 协调
协调 健康
要求 实现
实现 全面
全面 小康社会
维护 社会
维护 稳定
社会 稳定
稳定 国家
人口 中
中 人口
三农问题 始终
三农问题 关系
始终 关系
始终 全市
关系 全市
关系 经济社会
全市 经济社会
全市 粮食
全市 蔬菜
粮食 蔬菜
影响 农民收入
影响 增长
农民收入 增长
阶段 必须
促进 增收
增收 三农问题
抓 增收
抓 增收
工业化 经营
转移 进一步
转移 优化
进一步 优化
优化 结构
流通 切实
经济社会 全面
工业化 经营
劳动力 资源
优势 坚持
坚持 工业化
工业化 经营
工业 经济
经济 转变
转变 抓好
抓好 发挥
发挥 比较
发挥 优势
比较 优势
重点 抓好
重点 扶持
加工 企业
进行 开发
开发 产业链
产业链 提高
提高 带动
公司 基地
公司 农户
基地 农户
模式 引导
模式 龙头企业
引导 龙头企业
龙头企业 农户
农户 建立
农户 新型
建立 新型
建立 利益
新型 利益
龙头企业 农户
农户 利益
利益 风险
风险 确保
确保 健康
得到 更
特色 基地
基地 养殖
养殖 基地
基地 基础
基础 工程
工程 产业化
产业化 龙头企业
带动 作用
转移 积极
积极 推动
影响 全市
全市 收入
收入 亿元
亿元 进一步
进一步 发挥
进一步 政府
发挥 政府
政府 组织
组织 引导
组织 作用
引导 作用
作用 建立
相关 部门
相关 参与
部门 参与
参与 组织
组织 机构
培训 提高
重点 镇
镇 成为
增强 经济
经济 优化
优化 环境
经营 促进
促进 经济
经济 健康
健康 进一步
进一步 优化
优化 结构
优势 探索
优势 优质
探索 优质
探索 高效
优质 高效
经营 引导
优质 高效
高效 扩大
扩大 优质
实施 战略
资源 人均
现代农业 根本
科技 教育
努力 构建
市场 基地
基地 方式
方式 实行
方式 区域
实行 区域
区域 种植
种植 推动
推动 产品
产品 实现
产品 规模
实现 规模
优势 品牌
品牌 做
做 形成
优势 加强
市场 形成
形成 覆盖
覆盖 全市
全市 建立
建立 形式
销售 公司
国家 产业化
产业化 龙头企业
培育 现代化
龙头企业 努力
中心 建成
建成 全国
中心 价格
价格 中心
消费 市场
市场 合作
得到 更
深化 改革
种粮 实行
实行 直接
实行 补贴
直接 补贴
投入 完善
完善 耕地
完善 保护
耕地 保护
耕地 制度
保护 制度
耕地 加快
耕地 土地
加快 土地
土地 制度
制度 改革
土地 流转
土地 制度
流转 制度
制度 全面
全面 实行
全面 涉农
实行 涉农
实行 价格
涉农 价格
制度 加强
积极性 创业
全市 农户
农户 致富
致富 过程
基础 抓
基础 根本
抓 根本
农户 开展
开展 调查
转变 经营
市场 明确
抓 根本
没有 信用社
信用社 基础
基础 条件
转变 信贷
转变 贷款
风险 集中
集中 企业
企业 风险
转变 贷款
转变 担保
贷款 担保
转变 信贷
提出 强化
种 蔬菜
种 品种
蔬菜 品种
品种 收入
贷款 贷款
实现 种植
种植 销售
起来 经营
经营 开发
开发 建成
建成 万亩
万亩 蔬菜
产业 建立
不能 解决
了解 发放
发放 万元
万元 贷款
累计 信用社
信用社 贷款
亿元 实现
实现 万元
加工 统一
统一 确保
确保 全市
确保 人民
全市 人民
方式 信用社
信用社 贷款
信用社 万元
贷款 万元
贷款 承包
万元 承包
开发 达
达 万元
达 现在
万元 现在
去年 万元
万元 村里
促进 信用社
经营 实现
信用社 扶持
信用社 起来
扶持 起来
全市 信用社
农户 贷款
农户 亿元
贷款 亿元
产业 推进
推进 产业化
产业化 进程
进程 战略
围绕 三农问题
中 面临
养殖 模式
提高 收入
小康 没有
中国 现代化
现代化 三农问题
三农问题 成为
成为 我国
成为 全面
我国 全面
全面 小康社会
小康社会 必须
小康社会 重视
必须 重视
党中央 国务院
国务院 解决
重中之重 今年
今年 党中央
文件 提出
种粮 实行
实行 直接
实行 补贴
直接 补贴
投入 进一步
进一步 加强
解决 三农问题
统筹 城乡
落实 科学
解决 三农问题
解决 全面
三农问题 全面
全面 小康社会
解决 三农问题
解决 必须
三农问题 必须
三农问题 坚持
必须 坚持
必须 统筹
坚持 统筹
坚持 城乡
统筹 城乡
改革 农村土地
改革 制度
农村土地 制度
工业化 城镇化
城镇化 带动
现代化 当前
当前 应
应 社会
社会 事业
事业 应
政府 投入
投入 数量
数量 扶贫
扶持 成为
成为 改善
生活 条件
条件 主要
扶贫 成本
难 根本
采取 生活
生活 保障
生活 党中央
保障 党中央
保障 国家
党中央 国家
国家 提出
继续 完善
继续 社会
完善 社会
社会 制度
制度 建立
帮助 脱贫
进入 劳动力
进入 市场
劳动力 市场
劳动力 成为
市场 成为
我国 当前
当前 制度
试点 阶段
试点 农民工
阶段 农民工
农民工 情况
长期 进城
农民工 应
应 实行
实行 城市
城市 企业
企业 统一
制度 建立
全国 统一
全国 使用
统一 使用
城市 解决
解决 三农问题
主要 城市
城市 全国
城市 镇
收入 收入
主要 城市
城市 协调
国家 城市
城市 政府
城市 应
政府 应
政府 积极
应 积极
条件 进城
推进 产业化
产业化 培育
培育 积极
实现 增收
增收 实际
各级 政府
支持 基础
基础 建立
建立 完善
记者 本报记者
时期 推进
推进 城镇化
配套 工业化
全国 种植
全国 面积
种植 面积
实现 亿元
增长 增加
增加 亿元
中 正在
推进 工业化
工业化 统筹
工业化 城乡
统筹 城乡
统筹 突破
城乡 突破
突破 必须
工业化 核心
工业 经济
龙头企业 全国
龙头企业 各级
全国 各级
提供 安排
财政 补贴
补贴 提高
方式 扶持
扶持 龙头企业
龙头企业 带动
构建 优质
基础 突出
经济 促进
促进 增收
直接 有效
切实 支持
支持 继续
推进 工业化
力量 应
力量 深入
应 深入
应 推进
深入 推进
体制 创新
体制 深化
创新 深化
深化 改革
改革 产业
产业 提升
产业 企业
提升 企业
各地 部门
确保 加工
加工 企业
加强 改善
积极 变化
继续 促进
本报 经济
体制 创新
体制 解决
创新 解决
创新 三农问题
解决 三农问题
积极 探索
带动 作用
作用 解决
解决 三农问题
科技 专家
重点 专家
专家 进行
专家 指导
进行 指导
帮助 解决
解决 产业
中 技术
技术 促进
促进 蔬菜
专家 这种
这种 模式
这种 要求
模式 要求
全国 各地
组织 实施
攻坚 工程
现代 工程
工程 试点
试点 取得
鼓励 强调
强调 进一步
进一步 落实
落实 加强
加强 政府
政府 攻坚
推进 现代
现代 工程
市场 信息
教育 平台
起来 实现
实现 小康
小康 目标
目标 关键
关键 解决
解决 三农问题
全国 农民收入
全国 增长
农民收入 增长
增长 连续
投入 城乡
城乡 差距
差距 没有
健全 市场
市场 流通
产品 市场
市场 这种
这种 党中央
党中央 各级
各级 政府
完善 相关
相关 加大
体系 全面
得到 根本
得到 解决
根本 解决
开展 起来
社会 力量
社会 经营
力量 经营
积极 作用
作用 明显
明显 国务院
国务院 领导
国务院 同志
领导 同志
同志 提出
体系 基本
基本 建立
解决 三农问题
管理 完善
管理 有效
完善 有效
人员 了解
了解 需求
统一 管理
信息 应该
缺乏 政策
缺乏 支持
政策 支持
支持 经营
经营 缺乏
缺乏 资金
缺乏 支持
资金 支持
资金 网络
支持 网络
质量 需要
需要 提升
缺乏 专业
缺乏 技术
专业 技术
专业 部门
技术 部门
建议 加大
建议 政策
加大 政策
政策 资金
资金 扶持
资金 力度
扶持 力度
政策 支持
支持 政策
改革 方向
相关 部门
参与 农资
参与 产品
农资 产品
农资 流通
产品 流通
流通 经营
经营 资金
资金 扶持
资金 国家
扶持 国家
技术 产品
产品 推广
资金 支持
资金 技术
支持 技术
合作 技术
建成 全国
全国 最大
解决 农资
解决 流通
农资 流通
农资 市场
流通 市场
加快 技术
技术 成果
农业部 连续
科技 下乡
科技 活动
下乡 活动
下乡 去年
活动 去年
去年 开展
开展 全国
全国 科技
科技 活动
科技 下乡
科技 活动
下乡 活动
活动 农业部
科技 今年
提高 科技
提高 促进
科技 促进
重点 进一步
科技 下乡
下乡 内容
内容 增强
内容 科技
增强 科技
增强 下乡
科技 下乡
组织 实施
综合 科技
科技 提升
科技 试点
提升 试点
提升 行动
试点 行动
科技 培训
工程 政府
政府 组织
政府 专家
组织 专家
专家 技术
技术 示范
示范 带动
培育 科技
带动 农户
有效 提高
科技 水平
水平 科技
科技 培训
科技 采取
培训 采取
采取 培训
开展 科技
活动 今年
推广 项目
项目 支撑
支撑 中央
技术 信息
信息 人才
人才 优势
人才 围绕
优势 围绕
优势 水稻
围绕 水稻
围绕 玉米
水稻 玉米
水稻 小麦
玉米 小麦
组织 科技
组织 专家
科技 专家
专家 深入
深入 进行
指导 发放
指导 技术
发放 技术
技术 开展
中央 进一步
中央 做好
进一步 做好
进一步 文化
做好 文化
做好 科技
文化 科技
科技 下乡
科技 活动
下乡 活动
科技 下乡
科技 活动
下乡 活动
实施 科技
科技 示范
示范 工程
全国 组织
组织 科技
科技 下乡
科技 活动
下乡 活动
各地 科技
科技 示范
示范 工程
工程 整合
整合 资源
资源 推进
推进 科技
推进 下乡
科技 下乡
努力 整合
努力 相关
整合 相关
整合 资源
相关 资源
资源 基层
实施 科技
科技 工程
科技 下乡
创新 机制
科技 下乡
科技 活动
下乡 活动
文化 科技
成为 促进
成为 解决
促进 解决
促进 三农问题
解决 三农问题
保持 党
增强 党
能力 党
基础 实际
全国 各地
各地 情况
活动 内容
社会 参与
最大 品牌
满足 今年
方面 力量
活动 各地
各地 开展
当前 切实
思想 结合
思想 起来
结合 起来
经济 结构
结构 战略
战略 调整
战略 结合
调整 结合
调整 起来
结合 起来
全国 各地
电影 下乡
促进 经济社会
经济社会 协调
协调 满足
文化 生活
文化 需要
生活 需要
关系 发挥
发挥 积极
积极 作用
不少 地方
组织 部门
部门 基层
要求 组织
专家 深入
政策 科技
地方 特色
特色 活动
重点 进城
农民工 加强
培训 提供
文化 系统
系统 组织
组织 开展
科技 文化
开展 活动
农民工 直接
直接 覆盖
覆盖 全市
乡镇 今年
今年 部门
部门 做好
做好 下乡
下乡 电影
下乡 下乡
电影 下乡
下乡 下乡
健康 促进
健康 行动
促进 行动
组织 开展
下乡 科技
科技 下乡
科技 专家
下乡 专家
专家 下乡
下乡 科技
活动 活动
影响 各地
具有 特色
活动 中
活动 方式
项目 开展
集中 行动
组织 科技
活动 社会
成为 中
中 品牌
品牌 项目
组织 专家
机制 创新
文化 科技
真正 成为
制度 下乡
制度 有效
贫困地区 建成
长期 任务
实践 各地
各地 部门
部门 认识
集中 活动
结合 起来
机制 结合
结合 起来
结合 促进
起来 促进
成为 下乡
下乡 文化
下乡 科技
文化 科技
活动 城乡
城乡 活动
活动 全省
增强 成为
成为 下乡
下乡 有效
有效 形式
文化 下乡
投入 抓
公司 专业
文化 下乡
下乡 推动
文化 下乡
文化 成为
下乡 成为
成为 下乡
下乡 下乡
下乡 记者
落实 中央
中央 文件
文件 投入
文件 亿元
投入 亿元
投入 扶持
亿元 扶持
扶持 经济
人均 今年
今年 增加
增加 投入
经济 今年
今年 人口
突破 亿元
全国 最大
基地 县
扩大 统筹
统筹 城乡
增加 投入
万元 去年
落实 中央
中央 文件
文件 时
万元 一年
项目 投资
投资 亿元
亿元 今年
今年 扶持
达 亿元
支农 资金
支农 落实
资金 落实
今年 支农
支农 政策
完成 亩
设施 补贴
补贴 完成
完成 亩
设施 补贴
改造 亩
投资 万元
万元 万元
万元 万元
万元 补贴
万元 万元
今年 龙头企业
项目 带动
养殖 基地
补贴 直接
养殖 大户
万元 万元
万元 补贴
万元 补贴
形式 支持
养殖 条件
条件 投资
投资 万元
建立 今年
今年 粮食
粮食 种植
粮食 面积
种植 面积
面积 产量
政策 基础
困难 困难
财政 直接
直接 万元
万元 资金
办法 人均
解决 城乡
生活 困难
社会 建立
今年 建立
新型 制度
调整 政策
万元 有效
精神 中国
中国 研究
研究 中心
全面 小康社会
小康社会 中国
中国 三农问题
中央 全国
全国 各地
代表 全面
全面 小康社会
小康社会 三农问题
